RDWY_LINK_ID,season,INJSVR,DOCTNMBR
4842406,summer,C,1
4842406,summer,O,3
4842406,winter,B,1
4842406,winter,C,1
4842406,winter,O,6
4842408,fall,O,8
4842408,spring,C,1
4842408,spring,O,6
4842408,summer,C,3
4842408,winter,C,2
4842408,winter,O,2
4842446,spring,B,1
4842446,summer,C,2
4842446,summer,O,1
4842446,winter,C,1
4842446,winter,O,2
4842489,fall,O,1
4842489,summer,O,1
4842492,spring,O,1
4842541,fall,O,1
4842574,spring,O,1
4842574,winter,O,1
4842660,summer,O,1
4842730,winter,O,1
4842826,winter,O,1
4842913,summer,B,1
4842943,summer,O,1
4842955,summer,B,1
4843016,spring,O,2
4843016,summer,O,1
4843016,winter,O,1
4843236,winter,O,1
4843598,fall,B,1
4844283,summer,C,1
4844399,fall,O,2
4844400,fall,A,1
4844400,spring,O,1
4846043,fall,O,1
4846293,fall,O,2
4846293,spring,B,1
4846293,summer,O,1
4846293,winter,O,1
4846576,spring,O,1
4846576,winter,O,1
4846879,winter,C,1
4846933,fall,O,1
4846933,spring,O,2
4846933,summer,O,1
4846933,winter,O,2
4848721,fall,B,1
4848721,fall,O,1
4848721,summer,O,1
4848721,winter,C,1
4848721,winter,O,1
4848722,fall,C,1
4848722,fall,O,1
4848722,winter,O,1
4848723,fall,C,1
4848723,fall,O,1
4848723,summer,A,1
4848819,fall,B,2
4848819,spring,O,1
4848819,summer,B,1
4848819,summer,O,1
4848819,winter,B,1
4848819,winter,O,2
4848830,fall,C,1
4848830,spring,B,1
4848830,winter,O,1
4848831,spring,K,1
4848831,spring,O,3
4848831,summer,O,2
4848831,winter,C,1
4848831,winter,O,2
4849511,fall,O,1
4849515,spring,O,1
4849515,summer,B,1
4849516,fall,O,2
4849516,spring,O,1
4849516,summer,O,2
4849516,winter,O,1
4849518,summer,O,1
4849520,fall,O,1
4849520,spring,O,1
4849520,summer,C,1
4849520,summer,O,1
4849520,winter,B,1
4849520,winter,O,1
4849523,summer,O,2
4849523,winter,O,1
4849526,spring,O,1
4849532,spring,O,1
4849532,summer,O,1
4849538,fall,O,1
4850816,fall,O,2
4851138,fall,C,1
4851138,fall,O,4
4851138,spring,C,1
4851138,spring,O,1
4851138,summer,O,2
4851138,winter,O,1
4851141,spring,O,1
4851141,summer,O,1
4851152,summer,B,1
4851157,fall,O,1
4851157,spring,O,1
4851168,fall,O,2
4851874,summer,O,1
4851966,summer,O,1
4851966,winter,O,2
4851993,spring,O,1
4852020,fall,C,1
4852020,spring,O,2
4852020,winter,O,1
4852204,winter,O,1
4852343,summer,O,1
4858084,winter,O,1
4858290,fall,O,1
4858290,spring,C,1
4858290,summer,B,1
4858290,summer,C,1
4858290,summer,O,3
4858290,winter,O,4
4858657,fall,O,1
4858657,winter,B,1
4858657,winter,O,3
4876806,fall,O,1
4876806,spring,O,1
4876808,spring,O,1
4884608,fall,O,1
4884665,summer,O,1
4884665,winter,O,1
4884667,spring,O,1
4885627,summer,O,1
4885642,summer,O,1
4885648,spring,O,1
4885652,fall,O,1
4885652,spring,O,1
4885652,summer,O,3
4885652,winter,O,1
4885654,fall,O,2
4885654,summer,O,4
4885654,winter,O,2
4885655,fall,O,3
4885655,spring,O,1
4885655,summer,O,1
4885655,winter,O,2
5009930,fall,C,1
5009930,fall,O,1
5009930,winter,B,1
5015977,winter,O,1
5015995,summer,O,1
5016005,winter,O,1
5016011,fall,B,1
5016011,fall,O,1
5016011,summer,O,1
5016011,winter,O,1
5016027,winter,O,1
5016277,winter,O,1
5016279,fall,O,1
5016905,fall,O,1
5016905,summer,O,1
5016905,winter,O,1
5027992,spring,O,1
5027997,summer,O,1
5028004,winter,O,1
5035680,fall,O,1
5036165,fall,B,1
5036165,fall,O,1
5036165,summer,O,2
5036165,winter,O,4
5036588,fall,O,1
5036592,summer,O,1
5036613,summer,O,1
5036715,winter,O,2
5036720,winter,O,1
5036721,summer,C,1
5036721,winter,O,1
5036724,fall,C,1
5036724,fall,O,1
5036724,spring,O,1
5036724,summer,B,1
5036724,summer,C,1
5036724,summer,O,5
5036724,winter,O,6
5040838,fall,C,1
5040838,fall,O,7
5040838,spring,C,2
5040838,spring,O,2
5040838,summer,O,5
5040838,winter,C,1
5040838,winter,O,9
5063870,fall,C,1
5063870,fall,O,4
5063870,spring,O,3
5063870,summer,O,3
5063870,winter,O,3
5064072,fall,O,2
5064072,winter,O,1
5064102,summer,O,1
5064245,fall,O,1
5064245,summer,C,1
5064245,summer,O,1
5064245,winter,O,1
5064246,fall,C,2
5064246,fall,O,2
5064246,spring,O,3
5064246,summer,O,2
5064246,winter,B,1
5064246,winter,O,1
5064363,winter,O,2
5064444,fall,B,1
5064444,fall,O,1
5064444,winter,O,1
5064445,summer,O,1
5064445,winter,O,3
5064488,spring,O,3
5064488,summer,C,2
5064488,summer,O,1
5064488,winter,B,1
5064488,winter,C,1
5064488,winter,O,1
5064493,spring,C,1
5064493,summer,C,1
5064493,summer,O,1
5064493,winter,O,1
5064494,fall,O,3
5064494,spring,O,2
5064494,summer,O,1
5064494,winter,C,1
5064494,winter,O,1
5064728,summer,O,1
5064764,summer,C,1
5064764,summer,O,4
5064764,winter,O,1
5064926,summer,C,1
5064926,winter,O,1
5064986,spring,O,1
5084389,fall,O,2
5091460,spring,O,2
5091460,winter,O,1
5091461,summer,O,1
5091574,fall,O,2
5091574,winter,C,1
5091575,summer,O,1
5093005,spring,O,1
5093009,spring,O,1
5093009,summer,O,1
5093009,winter,O,3
5093010,fall,A,1
5093010,winter,O,3
5098599,fall,C,1
5098599,fall,O,1
5098599,spring,C,1
5098599,spring,O,1
5098599,summer,O,1
5098599,winter,C,1
5098599,winter,O,2
5098637,fall,O,1
5098646,spring,O,1
5098691,fall,O,2
5098691,spring,O,1
5098691,summer,O,1
5098691,winter,C,1
5098691,winter,O,2
5098692,fall,O,1
5098692,summer,O,1
5098692,winter,O,1
5099319,fall,O,1
5110737,fall,O,1
5110797,winter,O,1
5118901,summer,O,1
5120282,summer,B,1
5120282,winter,C,1
5120283,fall,O,1
5120283,spring,O,1
5120283,summer,O,2
5120283,winter,O,1
5120284,fall,O,2
5120284,spring,O,1
5120284,winter,O,3
5120285,spring,O,1
5120285,winter,O,1
5120288,fall,A,1
5120288,fall,O,4
5120288,spring,O,5
5120288,summer,C,1
5120288,summer,O,5
5120288,winter,O,3
5120289,summer,O,2
5120289,winter,C,1
5120289,winter,O,2
5121375,fall,O,2
5121375,summer,O,3
5121375,winter,C,1
5121375,winter,O,3
5132822,fall,O,1
5132822,winter,O,1
5132847,fall,O,1
5133004,winter,O,1
5133006,summer,O,1
5133006,winter,C,1
5134898,spring,O,1
5139946,fall,B,1
5139948,fall,O,1
5139948,spring,O,1
5140106,winter,O,1
5154966,winter,O,1
5157272,spring,O,3
5157272,summer,A,1
5157272,summer,C,1
5157272,summer,O,1
5157272,winter,C,1
5157272,winter,O,2
5167703,spring,O,2
5208043,spring,C,1
5208043,spring,O,1
5230093,spring,O,1
5230093,winter,O,1
5230222,summer,O,1
5253202,fall,O,1
5253202,spring,C,1
5253202,spring,O,1
5253202,winter,C,4
5253202,winter,O,3
5259181,fall,O,1
5260977,summer,C,1
5260984,spring,O,1
5285777,winter,O,2
5285900,winter,O,1
5297690,summer,O,1
5313813,summer,O,1
5313819,summer,O,1
5313819,winter,O,1
5313824,spring,B,1
5313824,spring,O,1
5313827,spring,O,2
5313827,summer,O,1
5313831,spring,O,1
5313831,summer,B,1
5313831,summer,O,1
5313831,winter,B,1
5314060,fall,O,2
5314060,spring,C,1
5314060,spring,O,1
5314060,winter,O,2
5314080,fall,O,1
5314080,summer,C,1
5314080,summer,O,3
5314157,fall,B,1
5314157,fall,O,1
5314157,summer,O,1
5314157,winter,O,1
5314163,fall,O,2
5314163,spring,K,1
5314163,winter,O,1
5314179,spring,O,1
5314179,winter,C,1
5314179,winter,O,1
5314181,fall,O,1
5314181,summer,O,1
5314181,winter,O,1
5314201,fall,O,1
5314201,spring,C,1
5314201,spring,O,1
5314201,summer,O,1
5314201,winter,O,1
5314203,fall,C,2
5314206,fall,C,2
5314206,spring,O,1
5314206,summer,O,1
5314238,fall,O,1
5314238,winter,C,1
5314238,winter,O,2
5314261,fall,C,1
5314261,fall,O,3
5314261,spring,O,1
5314261,summer,B,1
5314261,summer,C,1
5314261,summer,O,4
5314261,winter,C,1
5314261,winter,O,1
5314277,fall,O,2
5314277,spring,C,1
5314277,winter,O,1
5314295,fall,C,1
5314295,fall,O,1
5314295,spring,C,2
5314295,spring,O,2
5314295,summer,C,2
5314295,summer,O,4
5314295,winter,C,1
5314295,winter,O,4
5314337,winter,O,1
5314338,fall,O,1
5314338,summer,O,1
5314540,fall,O,1
5314540,spring,O,1
5314540,summer,C,1
5314540,summer,O,4
5314540,winter,O,5
5314617,winter,O,1
5314627,fall,C,1
5314627,spring,C,1
5314627,spring,O,1
5314627,summer,B,1
5314627,summer,O,1
5314627,winter,C,1
5314627,winter,O,3
5314647,fall,O,2
5314647,spring,O,2
5314647,summer,C,1
5314647,winter,O,5
5314677,fall,C,1
5314677,fall,O,1
5314677,spring,O,1
5314677,winter,B,1
5314677,winter,O,2
5314701,spring,O,2
5314701,summer,C,1
5314701,winter,O,2
5314731,summer,C,1
5314757,fall,O,1
5314766,fall,O,4
5314766,spring,B,1
5314766,spring,C,1
5314766,summer,O,3
5314766,winter,O,1
5314771,fall,O,2
5314771,summer,O,2
5314771,winter,O,1
5315121,winter,O,1
5321246,winter,O,1
5321249,fall,O,1
5321249,spring,O,1
5321249,summer,O,1
5321324,fall,O,1
5321334,spring,O,1
5321339,summer,C,1
5321339,winter,O,1
5321342,fall,O,1
5321342,spring,C,2
5321342,spring,O,3
5321342,summer,O,2
5321344,spring,O,1
5323329,winter,O,2
5323330,fall,B,1
5323330,summer,O,2
5323330,winter,O,1
5341804,fall,O,3
5341804,spring,C,1
5341804,spring,O,3
5341804,summer,O,1
5341804,winter,O,2
5346162,summer,O,1
5355365,spring,A,1
5355365,spring,O,2
5355365,summer,C,1
5355365,winter,O,2
5355366,spring,O,1
5355366,summer,B,1
5366459,winter,O,1
5371950,summer,O,1
5371952,winter,O,1
5372925,fall,O,2
5372925,spring,O,3
5372925,summer,A,1
5372925,summer,O,2
5372925,winter,O,3
5372931,fall,O,1
5372931,spring,O,1
5372931,winter,O,1
5372934,fall,O,1
5372934,winter,B,1
5372934,winter,O,1
5374184,summer,O,1
5422168,summer,O,1
5422169,fall,O,1
5422171,fall,O,1
5422280,summer,O,1
5422280,winter,O,1
5427944,fall,O,1
5451777,fall,O,3
5451777,spring,O,5
5451777,summer,O,3
5451777,winter,O,4
5454897,fall,C,1
5454897,fall,O,1
5454897,spring,B,1
5454897,spring,O,1
5454897,summer,O,2
5454901,spring,C,1
5454901,winter,B,1
5454901,winter,O,1
5455081,winter,B,1
5455082,fall,C,1
5455082,fall,O,1
5455082,summer,C,1
5455082,winter,O,1
5455233,spring,O,1
5455235,fall,B,1
5455235,fall,O,2
5455235,spring,A,1
5455235,summer,B,1
5455235,summer,C,1
5455235,winter,A,1
5455235,winter,B,1
5455235,winter,C,1
5455235,winter,O,4
5455237,spring,O,2
5455237,winter,O,4
5455239,fall,A,1
5455239,fall,B,1
5455239,fall,O,1
5455239,spring,A,1
5455239,spring,O,1
5455239,summer,B,1
5455239,summer,O,1
5455239,winter,C,1
5455240,fall,O,2
5455240,winter,O,1
5486465,fall,B,2
5486465,fall,O,1
5486465,summer,C,1
5486465,summer,O,1
5488958,fall,O,1
5488958,summer,O,1
5488958,winter,O,1
5488959,fall,O,2
5488959,spring,B,1
5488959,spring,C,1
5488959,summer,C,1
5488959,summer,O,1
5488963,fall,B,1
5488963,winter,O,1
5488964,spring,C,1
5488964,spring,O,1
5488964,summer,O,2
5488964,winter,C,2
5488964,winter,O,2
5488965,winter,C,1
5488965,winter,O,1
5488966,spring,O,1
5488966,summer,B,1
5488966,winter,O,3
5488969,fall,O,1
5488969,spring,B,1
5488969,spring,C,1
5488969,spring,O,2
5488969,winter,O,1
5488970,fall,B,1
5488970,fall,C,3
5488970,fall,O,2
5488970,spring,B,1
5488970,spring,C,1
5488970,spring,O,3
5488970,summer,A,1
5488970,summer,C,1
5488970,summer,O,4
5488970,winter,O,4
5488971,spring,B,1
5497024,summer,O,1
5500199,fall,O,1
5500199,summer,O,2
5500199,winter,O,1
5500200,spring,O,1
5500200,winter,B,1
5500200,winter,O,1
5500201,summer,B,1
5500201,summer,C,1
5500201,summer,O,2
5500202,fall,O,1
5500202,winter,B,1
5505201,winter,O,1
5515604,fall,C,1
5515604,fall,O,2
5515604,summer,O,2
5515604,winter,C,2
5515604,winter,O,2
5515605,fall,A,1
5515605,fall,O,5
5515605,spring,C,1
5515605,spring,O,1
5515605,summer,B,2
5515605,summer,C,1
5515605,summer,O,3
5515605,winter,C,2
5515605,winter,O,6
5515742,fall,O,1
5515742,winter,C,1
5515742,winter,O,2
5515743,fall,O,1
5515744,spring,O,1
5515744,summer,O,1
5515746,fall,B,1
5515747,fall,A,1
5515747,spring,C,1
5515747,summer,C,1
5515747,winter,O,1
5515748,fall,O,1
5516764,spring,O,1
5516764,summer,O,2
5516764,winter,O,1
5516768,fall,C,1
5516768,winter,O,1
5516786,winter,O,1
5519747,fall,B,1
5519747,spring,B,1
5519747,spring,O,1
5519747,summer,O,3
5519747,winter,B,1
5519747,winter,O,4
5538762,spring,C,1
5538762,summer,O,1
5539663,fall,O,1
5539663,winter,O,1
5539664,fall,O,1
5539664,summer,O,1
5539664,winter,C,1
5539665,spring,B,1
5539665,winter,O,3
5539666,fall,B,1
5539666,spring,B,1
5539666,winter,C,1
5539666,winter,O,4
5540637,spring,O,2
5540637,winter,O,2
5540644,spring,O,1
5540644,winter,O,1
5542154,fall,C,1
5542154,fall,O,3
5542154,spring,C,1
5542154,spring,O,1
5542154,winter,O,2
5547918,spring,A,1
5559302,fall,O,1
5559531,winter,B,1
5559535,summer,O,1
5571423,winter,O,1
5571519,spring,O,1
